id,status,speaker,podcast,text
b8b0f035-d8fe-40a9-9463-fd23f41ff33c,pending,Kate Scott-Dawkins,AdTechGod Pod,You actually get to continue to shape those things and continue to see them get implemented and then continue to influence future direction of the company.
c52fa29c-5764-4350-b2da-118367ec6bde,pending,Kate Scott-Dawkins,AdTechGod Pod,"The largest sellers of advertising are services companies. And so they have this, it's part of what makes them sticky."
0619011a-9892-498a-9028-09c8b2c1fca3,pending,Kate Scott-Dawkins,AdTechGod Pod,We have the top 25 sellers of advertising accounting for nearly three quarters of the total industry by the end of this year.
b458d7aa-562a-458e-b647-bc6dd360b901,pending,Kate Scott-Dawkins,AdTechGod Pod,We want to be able to look at the marketplace and draw a new analogy or coin a new word or talk about a category that hasn't been defined well yet before and do that for the first time.
eb1b4de1-8cb8-4260-b530-f0f0a3b50cf0,pending,Kate Scott-Dawkins,AdTechGod Pod,"My job is to know everything about everything... whether it's a drought in Ecuador or a flood in Pakistan, all of that impacts consumer spending and advertising around the world."
2a7528e4-172f-4625-a0f9-9f0e4f160277,pending,Babs Rangaiah,The AI Edge Podcast,"The idea that you can reach people when they're going to be in a market for a new home... AI can pick up that will suggest that in six months or in three, maybe they're getting married."
51c8bee7-4b57-416f-8713-65d934f4a73b,pending,Babs Rangaiah,The AI Edge Podcast,What about LLMs? It was a little bit shocking that AI never came up once in a three-hour meeting.
45c8b7bd-54ca-42d7-bdbc-5e6cdf8f0271,pending,Babs Rangaiah,The AI Edge Podcast,"When new technologies come in, you just take old-type advertising and try to stick it in... it takes a while before people start reframing how they think about the new medium."
7cf6ba07-730d-474f-ad7b-ed1bc065f492,pending,Babs Rangaiah,The AI Edge Podcast,I think having foresight is very important... I could pretty much trace my career back to the decision I made to go into that world.
6b8cddef-54c5-443e-9241-7fbd0810b1d9,pending,Babs Rangaiah,The AI Edge Podcast,The problem with companies like IBM is they are so early to market... it never really hit the mainstream.
a418619d-5c3c-4760-b4fa-fbd697eccf77,pending,Babs Rangaiah,The AI Edge Podcast,"90% of people are just going along. They're looking for direction. Five to 10% of people will lead, and those people will typically create the first great case study or the first thing that really gets noticed."
810ff34f-b9e9-406a-9205-214a2f3a63b1,pending,Babs Rangaiah,The AI Edge Podcast,The agents are just talking to each other about stuff. There is a thread about the agents creating a new language that humans may not understand.
3c5948ae-a3a5-4f0c-9a85-3221f09c9571,pending,Babs Rangaiah,The AI Edge Podcast,The most powerful form of non-paid advertising is word of mouth... It's hard to buy.
47ccf062-5d60-4f9b-ba5a-9a73def90db9,pending,Unnamed,Adtech Adtalk,"To what extent is it a DSP's job to be a bento box versus to just drive outcomes, right? Because those are two very different things."
cb2e9116-484b-4ecd-b8fc-e65bfee6f748,pending,Adam,Adtech Adtalk,Speed does still matter. ... There is a speed at which sending lower bids faster makes them more money than waiting for higher bids.
68d053d3-2848-4114-bbab-e1ce814da280,pending,Unnamed Speaker,Adtech Adtalk,"When the logic lives inside a container, you have a ton of flexibility on where you deploy that."
40681a0b-977d-4f58-9c4c-f9df1e4ae485,pending,Unnamed,Adtech Adtalk,I think the DSP as we know it becomes an SMB proposition.
72e2f2a2-73b0-4179-b559-55eb674d41b2,pending,Gareth,Adtech Adtalk,"The main difference is that a DSP has a much larger bundle and you pay essentially for all of them no matter what. In this, it's just like ordering a la carte, right? You pay for what you want to eat."
20baa8e6-aef4-4451-bb64-1d686a5380df,pending,Unnamed Speaker,Adtech Adtalk,There's a lot of noise in our space... what are you really doing and how do we make it easy for many people to understand?
9bc3e285-2c2c-408f-b84c-f10164b87904,pending,Unnamed,Adtech Adtalk,"Newman's point, looking back at shipping containerization, is that the ones who really benefited are companies like Walmart, which committed to having the cheapest goods on the shelf all the time, IKEA, which was a local furniture company that decided to flat pack and ship all its furniture, so it became the only global furniture company."
5c4e6637-8cf3-4c26-bd06-93d41a3d8a46,pending,Gareth,Adtech Adtalk,"What we're saying here is that's not how it happened in finance, is that infrastructure made a huge difference, especially before everyone had adopted it."
36dccd87-3791-4e78-9c07-f2b5308f9fb7,pending,Bob Lord,Marketecture,We're moving from a media agency to a growth partner with you.
b75aa0f3-703d-44a1-a7b7-f6804cef82bb,pending,Bob Lord,Marketecture,"They have the attacker's advantage. They are smaller, less well-known. The big guy is vulnerable and they're just hitting them."
9d4a4813-d89e-4398-87f0-89cd51aa5093,pending,Bob Lord,Marketecture,"There's no, I mean... this technology... is a perfect use case for helping people create thought partners in the marketing and the media landscape."
e8fd665c-d089-4db5-a85d-e0eecfdb31f2,pending,Bob Lord,Marketecture,"If you buy from a legacy holding company, you're buying into their tech stack and their data stack that is decades old. They're not actually bringing in the new innovations."
52bbc6cb-85dd-45b0-ba83-c6ddf4cf8057,pending,Bob Lord,Marketecture,"This is a counter-positioning ad where it's saying you can trust us, Anthropic, for your best interests and those other guys because they're running ads. You never know what they're up to and you shouldn't trust them."
2365bdf6-aa36-4c46-bc71-c2d20acfd1e8,pending,Bob Lord,Marketecture,The vision of Vivikey was right. We couldn't necessarily execute it given sort of the data problems and the technology things that were in the way.
09d4a1b6-5bdb-4eb2-95a7-664c095fd015,pending,Bob Lord,Marketecture,"If you, as a marketer, understand that your first-party data and your customer insight is your own IP, that's what's gonna make you compete better in the market than somewhere else."
624e35a9-28ce-4c10-9fd6-f5303b553af0,pending,Bob Lord,Marketecture,"I think in the legacy holding companies, there's so much change and so much, I would call it legacy tech debt and legacy data debt that they can't innovate fast enough in these current innovation cycles."
ab789600-c3d4-42c8-9425-a75c00d15f12,pending,Mark Zagorski,The FPC Podcast,"When you do that, you drive better performance to begin with. And I think, you know, what we've done recently is just the extension of that."
87b1b496-3d90-434e-a647-f8c743d2336e,pending,Mark Zagorski,The FPC Podcast,"We should look like the global digital economy. If we're really working with advertisers who are global, which means over 50% of our revenue should come from outside the US."
78439214-ccae-444d-a6ab-36d45020c4ce,pending,Mark Zagorski,The FPC Podcast,"You can't have a company that's not prepared to survive, whether it's tariffs or COVID or who knows what could be next."
7bd989be-c6c3-4368-8cce-81b0d099c29e,pending,Mark Zagorski,The FPC Podcast,"Protection and performance go together and they both help drive the impact of brand spend. And ultimately, that's what we're here to do, is help brands spend more efficiently and more effectively online."
e295b274-14fa-42c8-a808-231951783244,pending,Mark Zagorski,The FPC Podcast,"We've moved beyond the, hey, this is cool technology. We have to have a viable business model, even if it's smaller than what we expected."
19e72fd7-14ed-46a2-86d7-6a3cf715fab8,pending,Mark Zagorski,The FPC Podcast,"We don't have an M&A strategy. We have a strategy strategy, right? And M&A plays into that sometimes."
c7ace97c-9cb5-49f3-82bd-36c25c0884bb,pending,Mark Zagorski,The FPC Podcast,The evolution of ad tech is no different than any other space where point solutions and single signal solutions end up becoming platforms.
86e6cdbf-2c92-415c-818f-9aa5f0129d3a,pending,Mark Zagorski,The FPC Podcast,"The one thing about all these, kind of, ad tech maps is that they never get less logos on them. They just get different logos. Right? And I think that's good. That means there's a lot of innovation. There's a lot of opportunity. And there's a lot of change."
a791d9c3-c681-4121-9ee3-3affb758fdf0,pending,Kevin Flood,The FPC Podcast,The First Party Studio is really just stitching together a lot of the opportunities and gaps that we've seen in the last few years.
13f14e8c-b36a-45a3-8bf1-c90f3c2586c0,pending,Unnamed Speaker,The FPC Podcast,Founders can de-risk by being part of it. Investors can de-risk by investing in it. And experts… de-risk by being part of a collective.
edcbf81a-259a-4492-b83a-1c93a385ffc6,pending,Gary,The FPC Podcast,"The engagement with First Party Studio gives [corporates] an opportunity to have a team that are not just driven by day rates and are not working solo, but rather working in this network that's deeply integrated with new innovation."
b024a9df-32a3-42ea-822d-0ab2e8da7c2b,pending,Kevin Flood,The FPC Podcast,"It's a combination of the group of us, three founders, plus the two first party partners... our ambition is to cover every pillar of a startup."
6ad3cbfd-7e30-411e-807b-201eeec4da5a,pending,Unnamed Speaker,The FPC Podcast,"We're creating a better ecosystem for risk-taking and innovation in this industry, in ad tech and data and media."
db202c7a-4862-49ae-afae-8b457ee40259,pending,Unnamed Speaker,The FPC Podcast,"At the end of the day, it comes down to execution. For early stage companies to execute, there has to be a kind of entrepreneurial mindset."
98721e28-d0a4-4809-8b36-85fc0506554a,pending,Gary,The FPC Podcast,"Instead of investing 500k at pre-seed, we might be able to create a slightly lower risk incubation with less cash in, but with more resource, more people as a kind of alternative, which I think actually is more aligned with what founders need at the day one stage."
08e04c8a-e2a5-4613-bc64-73616a17d327,pending,Kevin Flood,The FPC Podcast,"I think accelerators, other than the big two or three, tend to be a waste of time... the value comes more from having a long term alignment with people that are hard to hire because they're too veteran and too senior."
cbcaf29e-2a9f-4a21-a739-342d91aef6fd,pending,Ciarán,The FPC Podcast,The kind of on-off death of the cookie has helped in a way for the industry to invest more heavily in a broader range of high-quality signals and reliable data.
71057f63-9a59-4c5a-90a8-3a880af1b1b2,pending,Matt,The FPC Podcast,"What GreenBids are going to get is a 50, 60, 70 person, fully scaled, super professional sales team in every single market in America. I think this product is going to go gangbusters."
d6e488bc-de6a-4415-936e-85078764f635,pending,Kevin,The FPC Podcast,"The one thing that these algos depend on is like proprietary signal, right? So I think that's the most interesting part of AI and ad tech."
d1bf8912-b000-43b6-8574-3fa8bc8a8a18,pending,Matthew Goldhill,The FPC Podcast,"We set ourselves this technology challenge, which was what happens if we could define quality, not by the fact that Google AMP is being used, but by our own data and signals and understanding."
63718ba3-e576-4bdd-a3a9-c105a4091bbb,pending,Matthew Goldhill,The FPC Podcast,We wanted data to back up that the quality of the website you're serving in makes a huge difference.
0c0a471e-166b-48e3-8206-dea4d67be8ea,pending,Matthew Goldhill,The FPC Podcast,"It's not just about performance, although it's obviously there. It's like, what's your view on quality? How do you define that word? You can now define it."
cd4d98a1-2df0-4d18-9f3e-43ec0f137a79,pending,Matthew Goldhill,The FPC Podcast,"If you're serving in low-quality environments, you're actually decreasing your brand's reputation."
438dc674-fa4c-4217-9b28-ed83896956b4,pending,Matthew Goldhill,The FPC Podcast,"The interesting thing about running being bootstrapped is that you're able to thrive and survive, but you're not able to really take risks."
838328bd-7da1-41cc-9cc8-bc8df21521cd,pending,Adam,Adtech Adtalk,"Those are considered costs that you're supposed to get a return on. Often they're measured out of the CFO's office, and there's no problem measuring it. They're not wringing their hands and crying about ad tags."
a2567d43-cace-4aa0-939b-7076141f4729,pending,Unnamed,Adtech Adtalk,"Are you really going to stake that claim? Because Chalice is, like, we're a living challenge to that."
d15f9d68-f690-407b-a1c1-20ea1951495e,pending,Unnamed,Adtech Adtalk,I still wake up every day in disbelief that the trade desk gives a shit about this. I never thought I would see the day. And it's awesome.
1b12cfbd-cfd8-43b0-a8a7-e422ec1d29bc,pending,Adam,Adtech Adtalk,"Those are intensely measured for incremental effects because they're costs, right? Those are not treated as advertising costs, which a big brand often thinks is the same as throwing money in the toilet."
560116f8-a998-4179-94df-9f90b34d6e06,pending,Adam,Adtech Adtalk,"If a human can do it, an algorithm can do it. This is the promise of agentic, is if a human being is doing a thing to make a thing happen, you can do it via APIs."
2f8c0d23-ea11-4b4c-9e93-a9c5ca82d49f,pending,Rob,Adtech Adtalk,"If measurement is wrong and the algo is optimized to it, you'll hit the wall at 100 miles per hour with your career."
49135409-a43c-4607-9104-921eccf67b8b,pending,Unnamed,Adtech Adtalk,The buyer demand for cheapness gets locked into the technical specifications in these DSP SSP conversations or integrations in ways that are bad for advertising.
23e15068-7d75-4ea5-9da0-66b43664ef0e,pending,Adam,Adtech Adtalk,The reason these deals exist is because the systems can't move data around.
57ee63c6-8693-45bf-af80-8930dd44dfa1,pending,Brian Wieser,The FPC Podcast,"If you believe that this sort of regime broadly persists, then we're in a world where it's as if with GDPR, companies knew that, okay, we'll adhere to the high standard in one place, and you'll be good everywhere else. This is not that."
de52b33c-425b-46b2-8552-4cec426a2b12,pending,Brian Wieser,The FPC Podcast,"The general trajectory of the world, it seems unequivocally towards de-globalization. Maybe a world where the US looks a little bit more like China."
2b247568-f6f6-4ecd-bd7a-ca551eb1a7de,pending,Brian Wieser,The FPC Podcast,Zuckerberg's words recently about how Meta was going to automate the whole creative process... as absolute bullshit. Coming from a person who does not understand advertising because he doesn't even understand his own businesses in advertising.
6f31c396-3e3d-4bd5-93e8-76d1fc690d7f,pending,Brian Wieser,The FPC Podcast,"If you're not planning for a world where your operations in a country could be essentially isolated from the U.S., you're taking a risk. This is not a zero probability situation."
31e032ca-c8a0-4cbe-bbad-a715a574cd05,pending,Brian Wieser,The FPC Podcast,"Agencies are cockroaches, not dinosaurs. That is so on the money high that everybody seems to be writing off agencies if they're like, oh, we're going to automate the process."
66bf5cb3-104b-4f15-bc54-c43639e96be8,pending,Brian Wieser,The FPC Podcast,I don't care about advertising. I care about capital efficiency.
7458a9c9-c9ca-45c5-9a22-8e393072d872,pending,Brian Wieser,The FPC Podcast,"US exceptionalism is based on globalization, right? Like, that's the irony of all this, right? You don't have US exceptionalism if you don't have a global market."
78829cbb-3755-49bd-a57e-fa08ede97370,pending,Brian Wieser,The FPC Podcast,"The United States is transitioning its economy to one that is nowhere near as globalized as it was. If you believe that this regime... effectively persists for a long time, you can imagine the United States just finding ways to block international activity."
fd811688-31c7-42a5-9cb3-9c8d78f9af20,pending,Andrew,The FPC Podcast,A lot of ad tech companies over the last decade or two have first had to do a bunch of massively duplicative platform work before they then were able to get to value.
aef77d2d-ab6e-4208-b181-a8f7aa8182fb,pending,Andrew,The FPC Podcast,"The only way you can spend a media dollar on index is through a DSP, through a partner that represents the buy side. We think that's correct."
cbc92ddb-130e-4f7c-8430-6bf2a9490ea5,pending,Andrew Casale,The FPC Podcast,"I always believed in the economics of media and creating a machine that supports publishers because I was one, even in those early days."
44e50630-a785-4b5f-ad6c-a4df3a3bff0e,pending,Unnamed,The FPC Podcast,"An exploding ecosystem of really high energy startups augmented by AI that move even faster than ever before, built on top of the existing infrastructure and not burdened by the cost or speed dynamics of the past, is a really great environment for a very exciting future of this market."
4a8107a0-fbed-4a3e-bbab-a1d3a180e987,pending,Andrew Casale,The FPC Podcast,"For us as a company, in some way, our vision has always been, let's get as much ad spend as possible into this wonderful automated world, and let's make sure as much of it gets to the publisher as possible to create and fund great content."
1ac71056-3a03-467e-bbb8-eb075c7085a9,pending,Unnamed,The FPC Podcast,I think there's frankly never been a better time to build a business in the space than right now because the market is a lot bigger than it's ever been.
30a48efa-4ea4-4838-9446-202518718357,pending,Andrew,The FPC Podcast,The sell side can innovate as well. The sell side can create value too. And the sell side potentially has different priorities.
9f69c6e5-a654-4ced-b1d1-06acc60f4267,pending,Andrew Casale,The FPC Podcast,"I think a lot of ad tech companies over the years have had slightly different takes, which is, let's get as much money as possible into this automated world, and then let's keep as much of it. That just isn't the index strategy."
7c7d2de8-049b-41cf-a5e6-ea9ab69def60,pending,Old School Cy,Adtech Adtalk,There's tremendous downward pressure on price... Most publishers do not care. They say that they will make me 5% more.
20998569-9b0a-4cf1-befc-1b4a39b48a26,pending,Unnamed Speaker,Adtech Adtalk,"When advertising is not your core business, to become an advertising company is a big commitment."
56294f55-aede-452c-b820-5e98b3373bb0,pending,Unnamed Speaker,Adtech Adtalk,There's a tendency to underrate the leverage. Holding companies are important because they're an aggregation of advertisers. And there's actually a lot of ways to aggregate advertiser demand.
6990910d-8a2f-4e4e-aa51-8e3b618bba76,pending,Unnamed Speaker,Adtech Adtalk,"The TV marketplace changed us, right? We didn't change the TV marketplace."
d1a59ae0-7c4b-4141-8e47-4c9dafda6afb,pending,Unnamed Speaker,Adtech Adtalk,Very rarely do non-advertising companies become advertising companies successfully.
ca66f614-b61c-4e40-9f7e-b055ba0344e9,pending,Unnamed Speaker,Adtech Adtalk,"If you can't do that, and you don't have that analysis, and you're doing conversion attribution based on IP address, you're going to have a bad time."
aee54626-3aca-4ef6-9303-dfa058103491,pending,Unnamed Speaker,Adtech Adtalk,"Gaming throttling is my least favorite business model. It's still a very common business model, especially in CTV, where there's this tremendous glut of bid requests."
4d2f4a9d-529e-4ca8-8523-010fe782ac16,pending,Old School Cy,Adtech Adtalk,The whole notion that there are two DSPs that run the entire industry is bad. That's not how it's supposed to be.
486fdfe0-7fa0-472f-a5e2-c4fd0d42d71f,pending,Hillary Slattery,Adtech Adtalk,The notion of agency as product company... I think it's coming back in now.
88193f0b-0e25-4d93-a6fc-a68433d4903c,pending,Hillary Slattery,Adtech Adtalk,"The whole buy side is getting sideswiped by automation, where all of these agencies who used to be buying these super naive goals... they're adults who set up campaigns."
e1c34e9b-da2f-4a7f-8490-c9110406f2fc,pending,Hillary Slattery,Adtech Adtalk,What AdCP kind of fundamentally misses is that building this stuff takes like engineering product resources.
fee49f47-edbf-41a4-a5f5-580afd5ff30e,pending,Hillary Slattery,Adtech Adtalk,"If you're buying open market CTV, it's on you. Everyone knows who has ever run any sort of report that it's madness in there."
7b423dee-0b24-47ab-9e52-20600ffa033f,pending,Hillary Slattery,Adtech Adtalk,"If you're accepting only a deal ID and not an app bundle ID, you could think that you're buying from a perfectly legitimate seller and it's full fraud."
b915edae-ca90-43f8-883b-c4600411c781,pending,Hillary Slattery,Adtech Adtalk,Traditional is where scale matters. What matters in digital is not scale. It's AI and your ability to activate assets and to do smart things with algorithms.
386942dc-f10f-4914-b587-1a61057255c1,pending,Unnamed Speaker,Adtech Adtalk,"If something is annoying enough to enough smart people, they're going to find a way to fix it."
beb1d401-a606-4a71-8ffd-89a52f77ae53,pending,Hillary Slattery,Adtech Adtalk,"The expectation that people will instead, like, do a net new thing from scratch seems... absurd."
23572d9a-e8a0-4289-b97a-45b9a9e08c27,pending,Myles Younger,The AI Edge Podcast,"You're going to pay your agency to use an agent, which strikes me as funny. Marketers aren't going to use those agents if they're paying agencies."
c50e48ed-bed1-4a4b-b17f-bae4665dd3ea,pending,Chad Reynolds,The AI Edge Podcast,You have to create a world to explore them and then build populations of people to build them with.
43e5813e-12c4-431c-a7d6-cac3886638b9,pending,Chad Reynolds,The AI Edge Podcast,These are just really different ways that you want to experience memory.
555520f9-315e-482a-b29d-49c70dec97c0,pending,Myles Younger,The AI Edge Podcast,"If you can compress that to an afternoon, like that's a huge win for those platforms, but it's not a replacement for professional services."
04ca91ba-79fa-4952-9d8d-10d5a83ec938,pending,Chad Reynolds,The AI Edge Podcast,It does challenge the idea of what is our human experience and what kinds of things do we want that exist in our experience to help us reach our potential.
cf99f486-3d6a-4246-83d2-b1d8375a30fe,pending,Unnamed Speaker,The AI Edge Podcast,This literally removes the meaning of life and death.
4a165412-529c-40f8-acf3-ebccef5eaa70,pending,Chad Reynolds,The AI Edge Podcast,You need to trust it and be reliable. It's going to be there. So it just seems like they're fundamentally different ways to make money.
829932e2-fdb6-4ee4-b38b-46db6a6d16dc,pending,Chad Reynolds,The AI Edge Podcast,"AI is going to create kind of like tons of homogeneity in marketing, which means it'll require more creativity and more strategy as opposed to just busy bees setting things up."
320fabb0-8b08-4c72-acc6-5cccee9f9c5e,pending,Rob McLaughlin,The FPC Podcast,This is a company founded three years ago with an idea which is suitable for now and for the future.
f30fd1e6-b85c-4e23-9791-cdc6f6eb5405,pending,Rob McLaughlin,The FPC Podcast,The best ad tech companies are always the simple ones.
3fc6e374-2819-49f6-9b2e-138131eb51dc,pending,Rob McLaughlin,The FPC Podcast,We believe there should be no tax on using your first party data in advertising.
07fa87b6-f272-4444-8c9c-58cbbbeb39df,pending,Narrator,The FPC Podcast,"A massive part of what gives us confidence is the founders themselves. Rob and Matt have built and exited a company together before, which gives them a rare edge."
6aedef8f-44fd-4be6-84ee-e99268f5cd4e,pending,Rob McLaughlin,The FPC Podcast,It just shows... how much chat has occurred regarding this topic and how little has been achieved.
a7aefbe9-9565-4dc5-915e-b1b63b5ed63f,pending,Unnamed Speaker,The FPC Podcast,Sometimes you kind of have to look at the best things in ad tech and they're often the simplest things.
25f0f730-29e3-4385-b574-c3a71e41b392,pending,Rob McLaughlin,The FPC Podcast,We have a very clear path from 1 million ARR where we are today to 6 million ARR within two to three years.
f1df8043-d7a5-400e-a7fd-460cd1c027fb,pending,Rob McLaughlin,The FPC Podcast,First party data is probably the most powerful signal of all.
